Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
HG4,NO,5/1/2013 23:45,4,ug m-3,P
HG4,NO,6/1/2013 0:00,2,ug m-3,P
HG4,NO,6/1/2013 0:15,2,ug m-3,P
HG4,NO,6/1/2013 0:30,2,ug m-3,P
HG4,NO,6/1/2013 0:45,,ug m-3,P
HG4,NO,6/1/2013 1:00,,ug m-3,P
HG4,NO,6/1/2013 1:15,2,ug m-3,P
HG4,NO,6/1/2013 1:30,2,ug m-3,P
HG4,NO,6/1/2013 1:45,2,ug m-3,P
HG4,NO,6/1/2013 2:00,2,ug m-3,P
HG4,NO,6/1/2013 2:15,2,ug m-3,P
HG4,NO,6/1/2013 2:30,2,ug m-3,P
HG4,NO,6/1/2013 2:45,2,ug m-3,P
HG4,NO,6/1/2013 3:00,2,ug m-3,P
